dif_seconds_quali_first_second,dif_seconds_quali_second_third,dif_seconds_quali_third_fourth,dif_seconds_qualif_fourth_fifth,driverAge,avg_temp,avg_humidity,avg_pressure,avg_wind_speed,constructorPositionPreRace,driverPositionPreRace,finished_first_q1,finished_first_q2,isAmericas,isAustralia,isEurope,is_reigning_constructor_champion,is_reigning_driver_champion,hadRain,finishedFirst
0.1409999999999911,0.3660000000000138,0.6089999999999947,0.0240000000000009,8290.0,87.91666666666667,35.291666666666664,1012.55,7.833333333333333,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,n
0.1159999999999996,0.0760000000000076,0.563999999999993,0.1620000000000061,8304.0,75.39999999999999,49.16833333333333,1009.6166666666668,13.166666666666666,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,n
1.3460000000000036,0.1159999999999996,0.125,0.0870000000000033,12273.0,88.10000000000001,67.86,1007.6,8.783333333333333,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
0.25,0.1050000000000039,0.0100000000000051,0.0559999999999973,8325.0,67.35000000000001,73.27499999999999,1016.2666666666668,15.633333333333333,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
0.1059999999999945,0.7280000000000086,0.1079999999999898,0.054000000000002,12308.0,66.35000000000001,61.245000000000005,1006.7333333333332,8.6,3.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,y
0.2940000000000111,0.1069999999999993,0.0559999999999973,0.1490000000000009,12315.0,66.83333333333333,58.085,1008.9166666666666,11.183333333333332,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,y
0.137999999999991,0.3270000000000124,0.0210000000000007,0.0759999999999934,12329.0,81.38333333333334,45.446666666666665,1013.75,6.483333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
0.2680000000000007,0.046999999999997,0.0150000000000005,0.0849999999999937,9288.0,73.60000000000001,57.90833333333333,1013.5333333333332,4.816666666666667,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,y
0.0750000000000028,0.3069999999999879,0.1060000000000087,0.0520000000000067,8395.0,83.76666666666667,28.68166666666667,1016.6833333333334,8.583333333333334,2.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,y
0.1430000000000006,0.6680000000000064,0.1299999999999954,0.0690000000000026,8409.0,71.66666666666667,43.875,1014.5166666666668,9.583333333333334,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,n
0.0020000000000095,0.4969999999999857,0.0570000000000021,0.0799999999999983,8423.0,67.8,58.09666666666666,1016.9833333333332,9.55,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,n
0.4110000000000013,0.8029999999999973,0.3440000000000083,0.1679999999999921,8430.0,83.13333333333334,51.505,1015.7666666666668,6.966666666666666,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,n
0.0850000000000079,0.2369999999999947,0.0270000000000152,0.0789999999999935,12420.0,54.35,77.14999999999999,1014.4,12.433333333333332,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,n
0.1219999999999998,0.2090000000000031,0.1399999999999863,0.1900000000000119,10637.0,74.3,49.51499999999999,1017.5166666666668,3.883333333333333,3.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,y
0.066999999999993,0.1140000000000043,0.3730000000000046,0.0330000000000012,10651.0,84.73333333333333,71.18666666666667,1009.1166666666668,1.55,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y
0.068000000000012,0.3159999999999883,0.0619999999999976,0.1210000000000093,8500.0,75.66666666666667,59.12166666666667,1007.9833333333332,10.35,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,y
0.0739999999999838,0.1069999999999993,0.2960000000000065,0.472999999999999,8514.0,66.28333333333333,89.00666666666666,1011.4,3.9166666666666665,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,n
1.0490000000000066,0.117999999999995,0.1099999999999994,0.2420000000000044,8481.0,76.51666666666667,51.48833333333334,1014.3666666666668,7.366666666666667,7.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,n
0.0309999999999917,0.3670000000000044,0.0310000000000059,0.1019999999999896,8535.0,83.36666666666666,55.09666666666666,1012.7833333333332,11.016666666666666,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,y
0.7780000000000058,0.0879999999999938,0.3840000000000003,0.1950000000000074,8668.0,63.01666666666667,64.80333333333333,1025.6166666666666,8.35,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,y
0.103999999999985,0.2050000000000125,0.0210000000000007,0.6019999999999897,8682.0,82.68333333333334,82.02166666666666,1009.75,4.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,y
0.7149999999999892,0.0420000000000015,0.2070000000000078,0.448999999999998,8689.0,66.55,33.65333333333333,1007.7166666666668,8.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,n
0.4050000000000011,0.1199999999999903,0.0210000000000007,0.2560000000000002,8710.0,60.083333333333336,50.28333333333333,1016.6,13.283333333333331,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,y
