,raceId,q3_lap_time_difference
0,18,0.0
1,18,0.15500000000000114
2,18,0.21000000000000796
3,18,0.09899999999998954
4,18,0.058000000000006935
22,19,0.0
23,19,0.4819999999999993
24,19,0.3830000000000098
25,19,0.09600000000000364
26,19,0.001999999999995339
44,20,0.0
45,20,0.026999999999986812
46,20,0.16900000000001114
47,20,0.12600000000000477
48,20,0.06999999999999318
66,21,0.0
67,21,0.09099999999999397
68,21,0.15399999999999636
69,21,0.007000000000005002
70,21,0.03100000000000591
88,22,0.0
89,22,0.1909999999999883
90,22,0.1150000000000091
91,22,0.01300000000000523
92,22,0.4539999999999935
108,23,0.0
109,23,0.027999999999991587
110,23,0.02400000000000091
111,23,0.3259999999999934
112,23,0.006000000000000227
128,24,0.0
129,24,0.612000000000009
130,24,0.23699999999999477
131,24,0.01099999999999568
132,24,0.09799999999999898
148,25,0.0
149,25,0.04099999999999682
150,25,0.20300000000000296
151,25,0.14700000000000557
152,25,0.0799999999999983
168,26,0.0
169,26,0.5049999999999955
170,26,0.15200000000000102
171,26,0.1290000000000049
172,26,0.0379999999999967
188,27,0.0
189,27,0.19299999999999784
190,27,0.284000000000006
191,27,0.04800000000000182
192,27,0.19400000000000261
208,28,0.0
209,28,0.24099999999999966
210,28,0.05100000000000193
211,28,0.09000000000000341
212,28,0.044999999999987494
228,29,0.0
229,29,0.20999999999999375
230,29,0.19299999999999784
231,29,0.09600000000000364
232,29,0.44899999999999807
248,30,0.0
249,30,0.3400000000000034
250,30,0.13700000000000045
251,30,0.1769999999999925
252,30,0.3230000000000075
268,31,0.0
269,31,0.0759999999999934
270,31,0.48599999999999
271,31,0.32800000000000296
272,31,0.32200000000000273
288,32,0.0
289,32,0.6640000000000015
290,32,0.1519999999999868
291,32,0.16200000000000614
292,32,0.09399999999999409
308,33,0.0
309,33,0.2400000000000091
310,33,0.1769999999999925
311,33,0.03100000000000591
312,33,0.02199999999999136
328,34,0.0
329,34,0.34200000000001296
330,34,0.24399999999999977
331,34,0.03799999999998249
332,34,0.0030000000000143245
348,35,0.0
349,35,0.3689999999999998
350,35,0.08800000000000807
351,35,0.0049999999999954525
352,35,0.0870000000000033
368,36,0.0
369,36,0.42099999999999227
370,36,0.06300000000000239
371,36,0.19899999999999807
372,36,0.592000000000013
390,37,0.0
391,37,0.2669999999999959
392,37,0.16899999999999693
393,37,0.5660000000000025
394,37,0.49800000000000466
412,38,0.0
413,38,0.28300000000000125
414,38,0.19599999999999795
415,38,0.06100000000000705
416,38,0.21199999999998909
434,39,0.0
435,39,0.030000000000001137
436,39,0.27200000000000557
437,39,0.06199999999999761
438,39,0.4680000000000035
456,40,0.0
457,40,0.17900000000000205
458,40,0.06199999999999761
459,40,0.31799999999999784
460,40,0.15399999999999636
478,41,0.0
479,41,0.45600000000000307
480,41,0.10299999999999443
481,41,0.14500000000001023
482,41,0.15899999999999181
500,42,0.0
501,42,0.16899999999999693
502,42,0.20300000000000296
503,42,0.13599999999999568
504,42,0.007999999999995566
522,43,0.0
523,43,0.06999999999999318
524,43,0.1530000000000058
525,43,0.23599999999999
526,43,0.1810000000000116
544,44,0.0
545,44,0.10200000000000387
546,44,0.04799999999998761
547,44,0.11800000000000921
548,44,0.13599999999999568
566,45,0.0
567,45,0.2909999999999968
568,45,0.03699999999999193
569,45,0.06200000000001182
570,45,0.28299999999998704
588,46,0.0
589,46,0.10699999999999932
590,46,0.47799999999999443
591,46,0.15099999999999625
592,46,0.2220000000000084
610,47,0.0
611,47,0.04399999999999693
612,47,0.1729999999999876
613,47,0.028000000000005798
614,47,0.14800000000001035
632,48,0.0
633,48,0.03699999999999193
634,48,0.5150000000000148
635,48,0.625
636,48,0.00899999999998613
654,49,0.0
655,49,0.016999999999995907
656,49,0.0800000000000125
657,49,0.3149999999999977
658,49,0.9279999999999973
676,50,0.0
677,50,0.07000000000000739
