circuitId,circuitRef,name,location,country,continent,lat,lng,alt,url,track_difficulty
29,adelaide,Adelaide Street Circuit,Adelaide,Australia,Australia,-34.9272,138.617,58,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit,
30,kyalami,Kyalami,Midrand,South Africa,Africa,-25.9894,28.0767,1460,http://en.wikipedia.org/wiki/Kyalami,
31,donington,Donington Park,Castle Donington,UK,Europe,52.8306,-1.37528,88,http://en.wikipedia.org/wiki/Donington_Park,
32,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,Americas,19.4042,-99.0907,2227,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,2
33,phoenix,Phoenix street circuit,Phoenix,USA,Americas,33.4479,-112.075,345,http://en.wikipedia.org/wiki/Phoenix_street_circuit,
34,ricard,Circuit Paul Ricard,Le Castellet,France,Europe,43.2506,5.79167,432,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,2
35,yeongam,Korean International Circuit,Yeongam County,Korea,Asia,34.7333,126.417,0,http://en.wikipedia.org/wiki/Korean_International_Circuit,
36,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,Americas,-22.9756,-43.395,1126,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,2
37,detroit,Detroit Street Circuit,Detroit,USA,Americas,42.3298,-83.0401,177,http://en.wikipedia.org/wiki/Detroit_street_circuit,
38,brands_hatch,Brands Hatch,Kent,UK,Europe,51.3569,0.263056,145,http://en.wikipedia.org/wiki/Brands_Hatch,
39,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,Europe,52.3888,4.54092,6,http://en.wikipedia.org/wiki/Circuit_Zandvoort,3
40,zolder,Zolder,Heusden-Zolder,Belgium,Europe,50.9894,5.25694,36,http://en.wikipedia.org/wiki/Zolder,
41,dijon,Dijon-Prenois,Dijon,France,Europe,47.3625,4.89913,484,http://en.wikipedia.org/wiki/Dijon-Prenois,
42,dallas,Fair Park,Dallas,USA,Americas,32.7774,-96.7587,139,http://en.wikipedia.org/wiki/Fair_Park,
43,long_beach,Long Beach,California,USA,Americas,33.7651,-118.189,12,"http://en.wikipedia.org/wiki/Long_Beach,_California",
44,las_vegas,Las Vegas Street Circuit,Nevada,USA,Americas,36.1162,-115.174,639,http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit,
45,jarama,Jarama,Madrid,Spain,Europe,40.6171,-3.58558,609,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama,
46,watkins_glen,Watkins Glen,New York State,USA,Americas,42.3369,-76.9272,485,http://en.wikipedia.org/wiki/Watkins_Glen_International,
47,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,Europe,57.2653,13.6042,153,http://en.wikipedia.org/wiki/Scandinavian_Raceway,
48,mosport,Mosport International Raceway,Ontario,Canada,Americas,44.0481,-78.6756,332,http://en.wikipedia.org/wiki/Mosport,
49,montjuic,Montjuïc,Barcelona,Spain,Europe,41.3664,2.15167,79,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit,3
50,nivelles,Nivelles-Baulers,Brussels,Belgium,Europe,50.6211,4.32694,139,http://en.wikipedia.org/wiki/Nivelles-Baulers,
51,charade,Charade Circuit,Clermont-Ferrand,France,Europe,45.7472,3.03889,790,http://en.wikipedia.org/wiki/Charade_Circuit,
52,tremblant,Circuit Mont-Tremblant,Quebec,Canada,Americas,46.1877,-74.6099,214,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,
53,essarts,Rouen-Les-Essarts,Rouen,France,Europe,49.3306,1.00458,81,http://en.wikipedia.org/wiki/Rouen-Les-Essarts,
54,lemans,Le Mans,Le Mans,France,Europe,47.95,0.224231,67,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit,
55,reims,Reims-Gueux,Reims,France,Europe,49.2542,3.93083,88,http://en.wikipedia.org/wiki/Reims-Gueux,
56,george,Prince George Circuit,Eastern Cape Province,South Africa,Africa,-33.0486,27.8736,15,http://en.wikipedia.org/wiki/Prince_George_Circuit,
